,Document,Topic,handle,color,date,tweet,topic_name,member,party
0,Veterans Day honor brave men women answer call serve represent best America offer owe greatest debt gratitude Thank service special thank favorite veteran father Ed 94,9,RepAdamSchiff,blue,2022-11-11,"On Veterans Day, we honor the brave men and women who answer the call to serve.

They represent the best of what America has to offer. We owe them the greatest debt of gratitude.

Thank you for your service - and a special thank you to my favorite veteran, my father Ed, now 94. https://t.co/S2QOwfQBlF",MemorialDay,Adam Schiff,Democrat
3,"student debt relief portal open applications 're ready save 20,000 student loan click now⤵️",1,RepAdamSchiff,blue,2022-10-19,"The student debt relief portal is open for applications.
 
If you're ready to save up to $20,000 on your student loans, click here now⤵️
 
https://t.co/TK4MfeaP4A",Student Debt,Adam Schiff,Democrat
5,POTUS pardon simple federal marijuana possession offenses great step forward rationale lock people away simple non-violent marijuana possession never make sense create needle barriers employment house Glad come end,5,RepAdamSchiff,blue,2022-10-06,".@POTUS pardoning all simple federal marijuana possession offenses is a great step forward. 

The rationale for locking people away for simple, non-violent marijuana possession never made sense, and created needless barriers to employment and housing.

Glad it’ll come to an end.",Cannabis,Adam Schiff,Democrat
10,nationwide abortion ban always end game Republicans wag assault reproductive right Enacting draconian laws pack court Today introduce abortion ban must stop time abolish filibuster codify Roe,0,RepAdamSchiff,blue,2022-09-13,"A nationwide abortion ban was always their end game.

Republicans waged an assault on reproductive rights. Enacting draconian laws and packing the court. 

Today, they’ve introduced an abortion ban. 

It must be stopped. Now is the time to abolish the filibuster and codify Roe.",Abortion,Adam Schiff,Democrat
12,outnumber force enemy retreat Ukraine victories represent remarkable progress fight sovereignty proof Putin belligerence match Ukrainian people strong hearts mind,4,RepAdamSchiff,blue,2022-09-10,"From outnumbered, to forcing the enemy into retreat.

Ukraine’s victories represent remarkable progress in their fight for sovereignty. 

And proof that Putin’s belligerence is no match for the Ukrainian people’s strong hearts and minds.",Russo-Ukrainian War,Adam Schiff,Democrat
14,"POTUS cancel 10,000 student loan debt 20,000 Pell Grant students huge accomplishment Still love see Canceling 50,000 would fire economy keep doors higher education open Let get do",1,RepAdamSchiff,blue,2022-08-24,".@POTUS just cancelled $10,000 in student loan debt. And $20,000 for Pell Grant students.

That’s a huge accomplishment. Still, I’d love to see him do more.

Canceling $50,000 for all would fire up our economy and keep doors of higher education open to all.

Let’s get this done!",Student Debt,Adam Schiff,Democrat
16,House consider Inflation Reduction Act landmark bill fight climate change lower health care cost reduce deficit strengthen economy Let get do,0,RepAdamSchiff,blue,2022-08-12,"The House is considering the Inflation Reduction Act.
 
A landmark bill to fight climate change, lower health care costs, reduce the deficit, and strengthen our economy.
 
Let’s get this done.",Abortion,Adam Schiff,Democrat
19,Court overturn Roe devastate reproductive freedom America rule may begin Today House Democrats pass bill protect right contraceptives Court wo n't protect right,0,RepAdamSchiff,blue,2022-07-21,"When the Court overturned Roe, it devastated reproductive freedom in America.

But that ruling may just be the beginning.

Today, House Democrats passed a bill to protect the right to contraceptives.

Because if the Court won't protect your rights, we will.",Abortion,Adam Schiff,Democrat
20,Wishing President Biden speedy recovery COVID-19 Glad hear case mild important reminder vaccinate boost help keep everyone safe Feel better soon POTUS,10,RepAdamSchiff,blue,2022-07-21,"Wishing President Biden a speedy recovery from COVID-19.

Glad to hear his case is mild - an important reminder about why being vaccinated and boosted can help keep everyone safe.

Feel better soon, @POTUS!",COVID-19 Vaccine,Adam Schiff,Democrat
23,Court decision overturn Roe endanger women everywhere take away right make health care choices court n't conservative partisan socially backward agenda ca n't trust protect right Congress must,0,RepAdamSchiff,blue,2022-06-24,"The Court's decision to overturn Roe endangers women everywhere, by taking away their right to make their own health care choices.

This court isn't conservative – it's partisan, with a socially backward agenda.

They can't be trusted to protect our rights, so the Congress must.",Abortion,Adam Schiff,Democrat
31,Memorial Day honor make ultimate sacrifice service country nation safer stronger today heroes serve uniform serve families love ones Thank,9,RepAdamSchiff,blue,2022-05-30,"On Memorial Day, we honor those who made the ultimate sacrifice in service of their country.

Our nation is safer and stronger today because of the heroes who serve it in uniform.

So to all those who serve, and to their families and loved ones: Thank you.",MemorialDay,Adam Schiff,Democrat
34,Republicans want overturn Roe want criminalize women health care decisions let politicians decide must expect pregnancy Putting women live health freedom risk must fight back protect right privacy,0,RepAdamSchiff,blue,2022-05-13,"Republicans want to overturn Roe.

They want to criminalize women’s health care decisions.

And let politicians decide what they must do with an expected pregnancy.

Putting women’s lives, health, and freedom at risk.

We must fight back to protect the right to privacy. We will. https://t.co/Q4nOzCDx9V",Abortion,Adam Schiff,Democrat
41,awe courage President Zelenskyy Ukrainian people face extreme Russian brutality Zelenskyy inspire people freedom-loving individuals across world ZelenskyyUa Ukrainian people,4,RepAdamSchiff,blue,2022-05-02,"I am in awe of the courage of President Zelenskyy and the Ukrainian people.

In the face of extreme Russian brutality, Zelenskyy has inspired his people, and freedom-loving individuals across the world.

We are with @ZelenskyyUa and the Ukrainian people. https://t.co/X3nbJr3Xjt",Russo-Ukrainian War,Adam Schiff,Democrat
42,war Ukraine struggle freedom tyranny must part ensure Ukraine victorious mean provide humanitarian economic military aid need prevail proud stand shoulder shoulder Ukrainian people,4,RepAdamSchiff,blue,2022-05-02,"The war in Ukraine is a struggle of freedom against tyranny.

And we must do our part to ensure Ukraine is victorious.

That means providing the humanitarian, economic, and military aid they need to prevail.

We are proud to stand shoulder to shoulder with the Ukrainian people. https://t.co/BrbqybU91Z",Russo-Ukrainian War,Adam Schiff,Democrat
46,Putin assault Ukraine grow brutal day 're see civilians kill indiscriminate bomb Cities reduce rubble Summary executions Rape torture must collect preserve evidence Putin must face justice look away,4,RepAdamSchiff,blue,2022-04-07,"Putin's assault on Ukraine grows more brutal by the day.

We're seeing civilians killed by indiscriminate bombing. Cities reduced to rubble. Summary executions. Rape and torture.

We must collect and preserve evidence. And Putin must face justice.

We cannot look away.",Russo-Ukrainian War,Adam Schiff,Democrat
